avg_motion,avg_edge_density,avg_texture,avg_temporal_information,avg_spatial_information,avg_color_complexity,scene_change_count,avg_motion_variance,avg_grain_noise,frame_rate,resolution,video_name
0.89,0.14,6.87,11.29,114.35,6.84,0.0,1.43,9.04,30,"(1920, 1080)",rush_field_cuts_1080p_segment_000.mp4
0.79,0.15,6.85,11.7,117.48,6.81,1.0,1.02,8.98,30,"(1920, 1080)",rush_field_cuts_1080p_segment_001.mp4
2.36,0.11,7.28,20.77,96.23,7.24,2.0,1.11,5.46,30,"(1920, 1080)",rush_field_cuts_1080p_segment_002.mp4
1.02,0.03,7.15,9.75,47.53,7.17,0.0,1.4,1.99,25,"(1920, 1080)",rush_hour_1080p25_segment_000.mp4
0.98,0.03,7.08,8.46,49.32,7.1,0.0,1.66,2.15,25,"(1920, 1080)",rush_hour_1080p25_segment_001.mp4
1.39,0.03,7.02,10.02,49.89,7.05,0.0,2.48,2.24,25,"(1920, 1080)",rush_hour_1080p25_segment_002.mp4
1.79,0.03,7.05,11.45,50.38,7.08,0.0,2.77,2.13,25,"(1920, 1080)",rush_hour_1080p25_segment_003.mp4
0.05,0.19,6.88,2.67,91.55,6.86,0.0,0.07,9.4,30,"(176, 144)",salesman_qcif_segment_000.mp4
0.04,0.19,6.87,2.26,91.75,6.85,0.0,0.05,9.39,30,"(176, 144)",salesman_qcif_segment_001.mp4
0.29,0.15,7.59,6.7,94.98,7.58,0.0,0.6,8.02,30,"(352, 288)",silent_cif_segment_000.mp4
0.39,0.15,7.6,7.88,94.66,7.59,0.0,0.79,8.03,30,"(352, 288)",silent_cif_segment_001.mp4
0.36,0.0,4.44,2.55,17.98,4.44,0.0,0.9,0.76,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_000.mp4
0.79,0.01,4.32,4.63,38.62,4.32,0.0,2.71,1.97,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_001.mp4
0.36,0.0,2.97,3.16,23.21,2.9,0.0,0.54,2.01,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_002.mp4
0.91,0.01,3.92,7.1,23.24,3.84,5.0,2.13,1.65,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_003.mp4
2.13,0.02,5.1,10.71,39.41,4.98,1.0,3.03,2.29,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_004.mp4
4.1,0.01,5.82,19.36,48.67,5.71,5.0,19.36,2.08,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_005.mp4
3.13,0.01,6.1,15.36,49.58,5.96,4.0,13.12,2.26,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_006.mp4
1.3,0.01,5.81,4.04,38.42,5.85,0.0,15.11,1.59,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_007.mp4
0.08,0.01,2.13,1.32,72.72,2.17,0.0,1.01,4.16,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_008.mp4
0.03,0.01,0.41,0.88,86.66,0.41,0.0,0.12,4.97,24,"(1920, 1080)",sintel_trailer_2k_1080p24_segment_009.mp4
0.38,0.01,4.45,2.4,29.86,4.45,0.0,0.63,1.92,24,"(854, 480)",sintel_trailer_2k_480p24_segment_000.mp4
0.78,0.01,4.31,4.18,57.94,4.31,0.0,2.0,3.96,24,"(854, 480)",sintel_trailer_2k_480p24_segment_001.mp4
0.25,0.01,3.03,2.37,25.28,2.95,0.0,0.28,2.19,24,"(854, 480)",sintel_trailer_2k_480p24_segment_002.mp4
1.04,0.02,3.93,6.56,32.36,3.86,5.0,1.49,2.43,24,"(854, 480)",sintel_trailer_2k_480p24_segment_003.mp4
1.52,0.03,5.12,10.03,58.26,4.99,1.0,1.7,4.01,24,"(854, 480)",sintel_trailer_2k_480p24_segment_004.mp4
4.4,0.03,5.84,19.07,79.78,5.7,5.0,16.9,4.96,24,"(854, 480)",sintel_trailer_2k_480p24_segment_005.mp4
3.17,0.03,6.12,15.14,79.87,5.97,4.0,10.27,4.8,24,"(854, 480)",sintel_trailer_2k_480p24_segment_006.mp4
1.65,0.01,5.82,3.76,64.33,5.85,0.0,12.17,4.07,24,"(854, 480)",sintel_trailer_2k_480p24_segment_007.mp4
0.12,0.01,2.18,1.03,86.59,2.23,0.0,0.74,6.3,24,"(854, 480)",sintel_trailer_2k_480p24_segment_008.mp4
0.02,0.02,0.55,0.74,86.95,0.55,0.0,0.05,7.69,24,"(854, 480)",sintel_trailer_2k_480p24_segment_009.mp4
0.38,0.0,4.44,2.49,24.22,4.44,0.0,0.77,1.47,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_000.mp4
0.78,0.01,4.32,4.42,47.82,4.32,0.0,2.21,2.97,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_001.mp4
0.31,0.01,2.97,2.72,23.94,2.91,0.0,0.39,2.06,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_002.mp4
1.19,0.01,3.91,6.8,27.24,3.84,5.0,2.06,1.99,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_003.mp4
1.89,0.03,5.1,10.35,48.72,4.99,1.0,2.38,3.22,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_004.mp4
4.89,0.02,5.82,19.23,63.68,5.71,5.0,20.33,3.64,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_005.mp4
3.47,0.02,6.1,15.23,63.45,5.97,4.0,12.47,3.52,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_006.mp4
1.56,0.01,5.81,3.93,50.51,5.85,0.0,14.48,2.86,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_007.mp4
0.1,0.01,2.15,1.17,81.71,2.19,0.0,0.9,5.2,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_008.mp4
0.03,0.02,0.47,0.81,91.87,0.47,0.0,0.09,6.56,24,"(1280, 720)",sintel_trailer_2k_720p24_segment_009.mp4
0.04,0.14,6.71,2.71,136.56,6.71,0.0,0.05,12.58,30,"(1920, 1080)",snow_mnt_1080p_segment_000.mp4
0.24,0.14,6.89,5.6,126.38,6.89,0.0,0.17,11.78,30,"(1920, 1080)",snow_mnt_1080p_segment_001.mp4
0.57,0.19,7.35,10.77,106.29,7.34,0.0,0.35,10.97,30,"(1920, 1080)",snow_mnt_1080p_segment_002.mp4
2.85,0.08,7.31,17.87,77.62,7.19,0.0,1.29,7.12,60,"(704, 576)",soccer_4cif_segment_000.mp4
2.64,0.06,6.81,18.59,68.77,6.7,0.0,1.56,5.52,60,"(704, 576)",soccer_4cif_segment_001.mp4
3.81,0.09,7.21,26.1,92.87,7.09,6.0,1.69,7.49,30,"(352, 288)",soccer_cif_segment_000.mp4
2.62,0.08,6.76,24.56,91.66,6.63,0.0,1.85,7.06,30,"(352, 288)",soccer_cif_segment_001.mp4
2.75,0.12,7.12,31.5,118.67,7.0,11.0,1.43,9.07,15,"(176, 144)",soccer_qcif_15fps_segment_000.mp4
2.58,0.11,6.66,30.7,117.53,6.52,2.0,1.8,8.95,15,"(176, 144)",soccer_qcif_15fps_segment_001.mp4
0.8,0.01,7.05,12.19,38.04,7.12,2.0,2.56,2.52,30,"(1920, 1080)",speed_bag_1080p_segment_000.mp4
0.56,0.03,7.45,18.48,54.84,7.48,2.0,2.1,3.76,30,"(1920, 1080)",speed_bag_1080p_segment_001.mp4
3.49,0.02,7.39,33.41,40.56,7.45,12.0,7.94,2.07,30,"(1920, 1080)",speed_bag_1080p_segment_002.mp4
1.88,0.09,6.31,12.44,95.34,6.33,0.0,1.88,9.27,60,"(1920, 1080)",STARCRAFT_segment_000.mp4
0.03,0.08,6.23,2.5,93.82,6.24,0.0,0.13,8.69,60,"(1920, 1080)",STARCRAFT_segment_001.mp4
0.42,0.07,6.01,3.18,81.27,6.04,0.0,0.6,7.55,60,"(1920, 1080)",STARCRAFT_segment_002.mp4
1.03,0.08,5.96,5.46,85.22,5.98,0.0,1.29,8.17,60,"(1920, 1080)",STARCRAFT_segment_003.mp4
0.09,0.08,6.19,2.86,91.9,6.2,0.0,0.2,8.6,60,"(1920, 1080)",STARCRAFT_segment_004.mp4
2.72,0.08,6.13,9.09,85.67,6.15,0.0,3.04,8.25,60,"(1920, 1080)",STARCRAFT_segment_005.mp4
2.03,0.09,6.3,9.67,96.96,6.31,0.0,2.28,9.37,60,"(1920, 1080)",STARCRAFT_segment_006.mp4
0.84,0.09,6.28,6.16,94.7,6.29,0.0,0.9,9.19,60,"(1920, 1080)",STARCRAFT_segment_007.mp4
0.77,0.09,6.26,7.46,94.21,6.28,0.0,0.77,9.12,60,"(1920, 1080)",STARCRAFT_segment_008.mp4
0.13,0.09,6.34,3.13,96.08,6.36,0.0,0.18,9.27,60,"(1920, 1080)",STARCRAFT_segment_009.mp4
1.14,0.09,6.33,6.08,96.07,6.34,0.0,1.39,9.29,60,"(1920, 1080)",STARCRAFT_segment_010.mp4
0.63,0.08,6.14,5.51,93.5,6.14,0.0,0.87,8.85,60,"(1920, 1080)",STARCRAFT_segment_011.mp4
2.21,0.06,6.94,8.56,48.62,7.0,0.0,1.22,3.66,25,"(1920, 1080)",station2_1080p25_segment_000.mp4
1.01,0.06,7.02,5.41,49.49,7.08,0.0,0.66,4.22,25,"(1920, 1080)",station2_1080p25_segment_001.mp4
1.58,0.24,7.24,22.43,136.92,7.3,0.0,0.77,16.81,30,"(352, 240)",stefan_sif_segment_000.mp4
2.65,0.23,7.13,27.86,136.65,7.19,0.0,1.68,16.59,30,"(352, 240)",stefan_sif_segment_001.mp4
0.13,0.12,7.17,3.67,93.48,7.26,0.0,0.2,8.55,30,"(352, 288)",students_cif_segment_000.mp4
0.09,0.12,7.18,2.69,94.28,7.26,0.0,0.14,8.58,30,"(352, 288)",students_cif_segment_001.mp4
0.07,0.12,7.18,2.04,94.38,7.27,0.0,0.11,8.6,30,"(352, 288)",students_cif_segment_002.mp4
0.06,0.12,7.16,1.93,93.18,7.24,0.0,0.11,8.54,30,"(352, 288)",students_cif_segment_003.mp4
0.12,0.12,7.19,3.74,94.96,7.27,0.0,0.19,8.64,30,"(352, 288)",students_cif_segment_004.mp4
0.18,0.12,7.17,4.11,93.6,7.26,0.0,0.24,8.49,30,"(352, 288)",students_cif_segment_005.mp4
3.34,0.03,6.94,14.68,48.87,6.38,0.0,1.55,2.1,25,"(1920, 1080)",sunflower_1080p25_segment_000.mp4
2.22,0.05,6.69,12.19,65.65,6.33,0.0,0.53,2.92,25,"(1920, 1080)",sunflower_1080p25_segment_001.mp4
1.92,0.08,7.22,13.48,70.11,6.75,0.0,0.56,3.13,25,"(1920, 1080)",sunflower_1080p25_segment_002.mp4
1.62,0.07,7.32,11.49,68.13,6.79,0.0,0.52,3.13,25,"(1920, 1080)",sunflower_1080p25_segment_003.mp4
0.32,0.1,6.9,5.34,79.77,6.93,0.0,0.23,5.53,30,"(176, 144)",suzie_qcif_segment_000.mp4
0.35,0.25,7.2,10.7,120.91,7.12,0.0,0.46,13.39,30,"(352, 288)",tempete_cif_segment_000.mp4
0.78,0.08,6.8,16.36,115.73,6.86,2.0,0.82,13.48,30,"(352, 240)",tennis_sif_segment_000.mp4
0.95,0.04,6.19,10.28,64.9,6.17,0.0,0.99,5.17,30,"(1920, 1080)",touchdown_pass_1080p_segment_000.mp4
4.03,0.02,6.13,14.94,37.23,6.14,0.0,3.86,2.38,30,"(1920, 1080)",touchdown_pass_1080p_segment_001.mp4
3.43,0.04,7.02,16.96,61.87,6.98,0.0,2.6,4.45,30,"(1920, 1080)",touchdown_pass_1080p_segment_002.mp4
5.37,0.11,7.18,16.67,71.92,7.13,0.0,3.21,4.92,25,"(1920, 1080)",tractor_1080p25_segment_000.mp4
7.88,0.08,7.06,16.97,65.35,7.05,0.0,5.02,4.15,25,"(1920, 1080)",tractor_1080p25_segment_001.mp4
11.54,0.05,7.01,16.3,56.18,6.98,0.0,7.6,2.85,25,"(1920, 1080)",tractor_1080p25_segment_002.mp4
12.47,0.05,6.91,16.86,56.11,6.82,0.0,6.23,3.51,25,"(1920, 1080)",tractor_1080p25_segment_003.mp4
5.78,0.09,6.87,12.52,50.86,6.72,0.0,3.05,4.4,25,"(1920, 1080)",tractor_1080p25_segment_004.mp4
0.24,0.15,6.64,6.46,124.27,6.56,1.0,0.25,9.06,30,"(176, 144)",trevor_qcif_segment_000.mp4
0.15,0.06,7.58,3.78,81.92,7.58,0.0,0.28,5.03,60,"(1280, 720)",vidyo1_720p_60fps (1)_segment_000.mp4
0.15,0.06,7.6,4.02,82.99,7.59,0.0,0.26,5.17,60,"(1280, 720)",vidyo1_720p_60fps (1)_segment_001.mp4
0.15,0.06,7.58,3.78,81.92,7.58,0.0,0.28,5.03,60,"(1280, 720)",vidyo1_720p_60fps_segment_000.mp4
0.15,0.06,7.6,4.02,82.99,7.59,0.0,0.26,5.17,60,"(1280, 720)",vidyo1_720p_60fps_segment_001.mp4
0.12,0.09,6.9,5.98,83.76,6.92,0.0,0.25,6.53,60,"(1280, 720)",vidyo3_720p_60fps_segment_000.mp4
0.15,0.09,6.95,6.04,83.27,6.96,0.0,0.26,6.41,60,"(1280, 720)",vidyo3_720p_60fps_segment_001.mp4
0.32,0.06,7.63,5.75,84.19,7.62,0.0,0.67,5.34,60,"(1280, 720)",vidyo4_720p_60fps_segment_000.mp4
0.25,0.05,7.59,4.87,83.09,7.59,0.0,0.48,5.11,60,"(1280, 720)",vidyo4_720p_60fps_segment_001.mp4
0.11,0.06,7.25,1.29,76.72,7.16,0.0,0.12,4.74,30,"(720, 486)",vtc1nw_422_ntsc_segment_000.mp4
0.11,0.06,7.26,1.4,76.56,7.16,0.0,0.13,4.74,30,"(720, 486)",vtc1nw_422_ntsc_segment_001.mp4
0.1,0.24,7.17,2.18,130.42,7.22,0.0,0.15,13.69,30,"(720, 486)",washdc_422_ntsc_segment_000.mp4
0.14,0.22,7.3,2.26,123.87,7.34,0.0,0.18,12.92,30,"(720, 486)",washdc_422_ntsc_segment_001.mp4
3.28,0.08,5.96,21.29,156.23,5.91,0.0,3.96,10.13,30,"(1920, 1080)",west_wind_easy_1080p_segment_000.mp4
2.21,0.09,5.89,20.95,163.41,5.85,0.0,2.71,11.02,30,"(1920, 1080)",west_wind_easy_1080p_segment_001.mp4
2.76,0.08,5.85,21.19,164.48,5.81,0.0,3.33,11.13,30,"(1920, 1080)",west_wind_easy_1080p_segment_002.mp4
2.42,0.02,5.28,6.69,39.79,5.32,0.0,2.86,4.69,60,"(1920, 1080)",WITCHER3_segment_000.mp4
3.15,0.02,5.45,6.74,58.69,5.4,0.0,3.45,6.2,60,"(1920, 1080)",WITCHER3_segment_001.mp4
4.24,0.02,5.38,7.66,43.48,5.3,0.0,4.38,5.42,60,"(1920, 1080)",WITCHER3_segment_002.mp4
3.08,0.02,5.61,7.23,43.6,5.55,0.0,2.78,5.56,60,"(1920, 1080)",WITCHER3_segment_003.mp4
3.39,0.02,5.61,7.36,44.17,5.56,0.0,3.04,5.56,60,"(1920, 1080)",WITCHER3_segment_004.mp4
3.5,0.03,5.62,7.95,44.8,5.54,0.0,3.64,5.59,60,"(1920, 1080)",WITCHER3_segment_005.mp4
4.31,0.02,5.62,8.23,43.59,5.55,0.0,4.79,5.13,60,"(1920, 1080)",WITCHER3_segment_006.mp4
2.49,0.02,5.31,6.74,42.8,5.22,0.0,2.39,5.29,60,"(1920, 1080)",WITCHER3_segment_007.mp4
0.62,0.0,3.95,2.63,15.17,3.82,0.0,0.88,1.5,60,"(1920, 1080)",WITCHER3_segment_008.mp4
0.1,0.01,4.88,1.54,26.16,4.78,0.0,0.17,2.57,60,"(1920, 1080)",WITCHER3_segment_009.mp4
1.34,0.01,5.19,5.51,28.44,5.08,0.0,2.04,2.83,60,"(1920, 1080)",WITCHER3_segment_010.mp4
0.99,0.01,4.91,5.32,26.5,4.81,0.0,1.35,2.33,60,"(1920, 1080)",WITCHER3_segment_011.mp4
